Gene Set	Score	0.95 MoE	P-Value	FDR
IPA_NPAS3_UP	0.45451336306417794		0.12662771285475793	0.9772388059701493
IPA_KDM4B_UP	0.45041234171770517		0.1298831385642738	0.9752104770813844
IPA_KLF3_DN	0.44470642135552985		0.1330550918196995	0.972565543071161
IPA_GTF2IRD1_DN	0.44342874822664496		0.1333889816360601	0.972565543071161
IPA_ID3_DN	0.43588514377100335		0.1367278797996661	0.9702626641651032
IPA_FOXG1_DN	0.4346265602760943		0.13739565943238732	0.9702626641651032
IPA_RUVBL1_UP	0.4331666101048865		0.1380634390651085	0.9702626641651032
IPA_MED1_DN	0.4329587729456936		0.13814691151919867	0.9702626641651032
IPA_VSX2_DN	0.43268296517846583		0.13823038397328882	0.9702626641651032
IPA_SNAI2_DN	0.4324355382878567		0.13831385642737898	0.9702626641651032
IPA_HOXB1_DN	0.42844516773875785		0.13939899833055092	0.9702626641651032
IPA_ASF1A_DN	0.42823668451160396		0.13964941569282138	0.9702626641651032
IPA_BACH1_UP	0.4271440282918867		0.14006677796327213	0.9702626641651032
IPA_GRHL2_UP	0.421581023729192		0.14156928213689482	0.9702626641651032
IPA_TCF20_UP	0.4206947417098901		0.14198664440734557	0.9702626641651032
IPA_ARID1B_UP	0.41357667191113645		0.14507512520868113	0.9702626641651032
IPA_ING1_UP	0.4119492366680992		0.14599332220367278	0.9702626641651032
IPA_RXRG_UP	0.4080236127465325		0.14774624373956594	0.9697056030389364
IPA_GTF2B_UP	0.40795179943555754		0.1478297161936561	0.9697056030389364
IPA_SOX5_DN	0.406838178354058		0.14824707846410684	0.9697056030389364
IPA_RFXANK_UP	0.402000364962594		0.15116861435726212	0.9685714285714285
IPA_SKIL_DN	0.4018167645703818		0.15158597662771287	0.9685714285714285
IPA_PITX3_DN	0.4012741893090442		0.15200333889816361	0.9685714285714285
IPA_EGR1_DN	0.39458860319579675		0.15559265442404008	0.9662846227316142
IPA_ZNF552_DN	0.3930764861749475		0.15667779632721202	0.9659655831739962
IPA_BCL6_DN	0.39262957577762003		0.15684474123539233	0.9659655831739962
IPA_SOX4_UP	0.3915845969008833		0.15792988313856426	0.9659655831739962
IPA_ZNF302_UP	0.391024716215346		0.15851419031719532	0.9659655831739962
IPA_LRPPRC_UP	0.391024716215346		0.15851419031719532	0.9659655831739962
IPA_TCF12_UP	0.3896627292276718		0.16076794657762938	0.9658981748318924
IPA_NF1_UP	0.3888038104865741		0.1612687813021703	0.9658981748318924
IPA_ZEB2_UP	0.38616823929962185		0.1639398998330551	0.9641000962463908
IPA_RPA2_DN	0.38535805743442764		0.16469115191986644	0.9641000962463908
IPA_MBD2_DN	0.3848513074638224		0.16535893155258766	0.9641000962463908
IPA_TRRAP_UP	0.37948011939770604		0.169449081803005	0.9605212355212355
IPA_SP4_UP	0.37941132898272384		0.1696160267111853	0.9605212355212355
IPA_ATF3_DN	0.3772357475129628		0.17186978297161937	0.9595744680851064
IPA_NR2C2_UP	0.37710369544243577		0.17203672787979968	0.9595744680851064
IPA_HNF1B_DN	0.3767830491381325		0.17220367278797996	0.9595744680851064
IPA_KCNIP3_DN	0.37664866814201525		0.17237061769616027	0.9595744680851064
IPA_CDCA7L_UP	0.37659643298352297		0.17312186978297162	0.9595744680851064
IPA_CREB3L2_DN	0.37659643298352297		0.17312186978297162	0.9595744680851064
IPA_MED14_DN	0.37659643298352297		0.17312186978297162	0.9595744680851064
IPA_PDCD2_UP	0.37659643298352297		0.17312186978297162	0.9595744680851064
IPA_GTF2IRD1_UP	0.37659643298352297		0.17312186978297162	0.9595744680851064
IPA_CNOT3_UP	0.37659643298352297		0.17312186978297162	0.9595744680851064
IPA_HIVEP2_UP	0.37659643298352297		0.17312186978297162	0.9595744680851064
IPA_CCNT1_UP	0.37647797843279		0.17320534223706177	0.9595744680851064
IPA_MESP1_UP	0.37398851392717786		0.17529215358931552	0.9595744680851064
IPA_H2AFZ_UP	0.3718371104149144		0.17712854757929883	0.9595744680851064
IPA_CHD5_DN	0.3701194339924027		0.17829716193656092	0.9595744680851064
IPA_TCEB1_UP	0.36806614112585323		0.17946577629382304	0.9595744680851064
IPA_MTA1_UP	0.3655879968360343		0.18113522537562604	0.9595744680851064
IPA_ESRRG_DN	0.365080322121634		0.18163606010016695	0.9595744680851064
IPA_SRY_UP	0.3635935211740782		0.18263772954924876	0.9595744680851064
IPA_SRF_UP	0.3634194105288466		0.18297161936560935	0.9595744680851064
IPA_THRA_UP	0.36239040698160374		0.1835559265442404	0.9595744680851064
IPA_HMGB1_DN	0.3612560648893794		0.18464106844741235	0.9595744680851064
IPA_PSMB1_UP	0.35643823189266205		0.1885642737896494	0.9595744680851064
IPA_RFX5_DN	0.355278416501633		0.1893989983305509	0.9595744680851064
